customer_id,first_name,last_name,email,city,state,date_of_birth,customer_segment,registration_date
C000117,Nicholas,Tata,nikitabanik@example.net,Hosur,Meghalaya,1949-08-14,Premium,2024-12-10
C000118,Lavanya,Saraf,udarsh08@example.org,Arrah,Goa,1980-05-25,Premium,2021-10-09
C000119,Ucchal,Tella,raaginidua@example.net,Kirari Suleman Nagar,Punjab,1966-04-28,Standard,2024-07-10
C000120,Chasmum,Bhatia,tejassawhney@example.org,Cuttack,Tripura,1946-02-12,Premium,2025-04-10
C000121,Jatin,Pai,victor42@example.org,Hapur,Punjab,1961-04-26,Business,2025-12-08
C000122,Leela,Saini,wdada@example.net,Giridih,Goa,1992-07-02,Premium,2021-10-09
C000123,Tamanna,Raja,oliver55@example.org,Ambarnath,Punjab,2008-08-01,Premium,2026-06-06
C000124,Arunima,Dani,aishani57@example.com,Mau,Meghalaya,1978-06-24,Premium,2022-05-18
C000125,Osha,Chander,bhattadya@example.net,Anantapuram,Tripura,1990-08-14,Standard,2024-07-23
C000126,Charles,Mangal,nkannan@example.com,Arrah,Tamil Nadu,2003-10-16,Standard,2023-12-13
C000127,Urvi,Varghese,harshil71@example.net,Udaipur,Uttar Pradesh,1967-09-12,Premium,2025-02-02
C000128,Tanveer,Biswas,chhabravrinda@example.org,Belgaum,Uttarakhand,1974-01-20,Standard,2025-03-08
C000129,Chatresh,Sastry,chavvikakar@example.net,Ongole,Chhattisgarh,2007-04-12,Standard,2023-03-30
C000130,Yashawini,Jayaraman,aditya96@example.net,Ajmer,Telangana,1969-09-29,Business,2026-04-06
C000131,Krishna,Kumar,borahmaanav@example.com,Maheshtala,Kerala,2006-04-04,Premium,2025-09-17
C000132,Arunima,Bandi,ikbalwable@example.net,Katihar,Haryana,1945-12-13,Premium,2025-08-22
C000133,Inaya,Zachariah,bainsekapad@example.org,Dharmavaram,Maharashtra,1974-09-08,Business,2022-02-21
C000134,Gautam,Shroff,maniabhimanyu@example.com,Shivpuri,Gujarat,1977-04-02,Premium,2022-03-16
C000135,Chatresh,Choudhry,niharika82@example.net,Farrukhabad,Kerala,2000-03-29,Business,2025-01-28
C000136,Chavvi,Nadig,loyalmeera@example.org,Jalgaon,Tripura,1972-01-06,Premium,2023-11-28
C000137,Shaurya,Bhatnagar,arunima32@example.com,South Dumdum,Nagaland,1952-09-29,Business,2024-12-22
C000138,Vanya,Vaidya,viraj43@example.org,Rajkot,Madhya Pradesh,1953-01-07,Standard,2025-03-31
C000139,Aditya,Rattan,hamsinivenkataraman@example.com,Mira-Bhayandar,Assam,1992-08-31,Business,2024-05-16
C000140,Zashil,Chada,schhabra@example.net,Nadiad,Jharkhand,2007-09-28,Business,2023-09-08
C000141,Tejas,Bhatt,sonioeshi@example.net,Thanjavur,Bihar,1986-08-08,Premium,2023-12-11
C000142,Yachana,Rajan,maharajkrish@example.net,Satara,Uttar Pradesh,1988-02-09,Premium,2024-08-08
C000143,Anthony,Ramaswamy,gautamideo@example.org,Sambalpur,Odisha,1946-01-30,Business,2022-02-13
C000144,Mitesh,Bhatia,garima44@example.com,Hazaribagh,Sikkim,1993-03-28,Premium,2022-06-11
C000145,Balvan,Mann,tanmayibanik@example.net,Surendranagar Dudhrej,Manipur,1981-05-06,Business,2023-05-08
C000146,Ojasvi,Karan,sanya05@example.org,Ichalkaranji,Tripura,1959-04-23,Standard,2022-12-25
C000147,Mason,Karpe,chaudhryaishani@example.net,Rohtak,Meghalaya,1971-09-29,Standard,2026-05-03
C000148,Janaki,Pillay,osangha@example.net,Dharmavaram,West Bengal,1950-04-10,Standard,2025-10-05
C000149,Wriddhish,Chada,shamekhala@example.net,Panihati,Chhattisgarh,1985-03-18,Standard,2025-09-20
C000150,Bhavini,Thaker,patilhiral@example.net,Hosur,Andhra Pradesh,1973-10-28,Standard,2024-12-09
C000151,Tarak,Bajaj,dadarudra@example.org,Uluberia,Sikkim,1988-04-23,Premium,2026-06-29
C000152,Bhavika,Ben,sidhusamuel@example.org,Munger,Tripura,1997-04-11,Standard,2022-05-18
C000153,Mekhala,Natt,yogijairaj@example.net,Dehradun,Meghalaya,1953-11-30,Premium,2023-05-09
C000154,Benjamin,Mall,vinayasarna@example.org,Hindupur,Tamil Nadu,1969-10-18,Premium,2021-11-05
C000155,Hardik,Shere,vansha72@example.org,Raipur,Kerala,1966-07-10,Premium,2021-11-16
C000156,Manan,Mani,faqid60@example.com,Begusarai,Gujarat,2005-04-08,Business,2025-12-16
C000157,Nidhi,Salvi,jkaran@example.net,Shahjahanpur,Nagaland,2008-04-18,Premium,2024-01-14
C000158,Varsha,Thakur,sai34@example.com,Saharsa,Bihar,1979-06-12,Business,2024-05-16
C000159,Vincent,Nair,victor13@example.com,Kalyan-Dombivli,Jharkhand,1980-03-21,Business,2024-08-09
C000160,Chaitanya,Keer,kloke@example.org,Malegaon,Tripura,1983-05-02,Standard,2025-08-28
C000161,Ekiya,Nigam,nkoshy@example.net,Khammam,Bihar,1979-09-07,Business,2026-04-23
C000162,Barkha,Behl,issacmohammed@example.com,Panipat,Maharashtra,1950-03-16,Standard,2024-02-22
C000163,Wazir,Sankaran,georgeshan@example.com,Bahraich,Punjab,1972-06-21,Premium,2023-08-21
C000164,Ira,Loyal,sreddy@example.org,Hazaribagh,Karnataka,1970-01-18,Premium,2026-03-05
C000165,Yasti,Mohanty,ucheema@example.com,Aizawl,Gujarat,1986-04-25,Standard,2023-01-03
C000166,Eta,Patla,finnganguly@example.com,Kamarhati,Goa,1996-05-20,Standard,2026-08-01
C000167,Leela,Arya,udarshghose@example.com,Raurkela Industrial Township,Meghalaya,1972-05-07,Standard,2021-10-08
C000168,Dalaja,Goswami,parekhjagat@example.com,Sangli-Miraj & Kupwad,Goa,1972-04-06,Premium,2023-11-29
C000169,Faqid,Butala,anmol79@example.net,Bhatpara,Jharkhand,1978-01-28,Standard,2025-04-20
C000170,Tristan,Soni,cmuni@example.com,Bidhannagar,Uttar Pradesh,1965-07-27,Premium,2026-05-05
C000171,Nathan,Sarraf,ananda@example.net,Mathura,Chhattisgarh,1987-01-28,Standard,2022-08-04
C000172,Triya,Sahni,xdoshi@example.com,Ambarnath,Tripura,1976-03-15,Standard,2025-11-19
C000173,Benjamin,Sant,grovervarenya@example.net,Unnao,Telangana,1947-06-08,Premium,2023-12-09
C000174,Aarna,Nayar,harrisonsengupta@example.net,Pudukkottai,Andhra Pradesh,1960-01-28,Premium,2022-12-12
C000175,Christopher,Palla,sudikshasarin@example.org,Panchkula,Uttarakhand,1946-11-03,Business,2025-12-14
C000176,Advay,Sarkar,brijesh03@example.com,Rampur,Jharkhand,1978-08-14,Standard,2023-07-17
C000177,Arin,Rastogi,sachichoudhry@example.com,Guna,Goa,2004-12-26,Standard,2022-12-29
C000178,Jhalak,Sandhu,qushi03@example.com,Korba,Maharashtra,2001-05-01,Premium,2023-09-25
C000179,Omisha,Pillai,oscartalwar@example.org,Jaipur,Tamil Nadu,1949-03-15,Premium,2021-11-25
C000180,Ekaraj,Kaul,dattaekalinga@example.com,Siliguri,Uttar Pradesh,1991-12-02,Business,2022-06-19
C000181,Xiti,Nagy,badalcharan@example.net,Chandrapur,Himachal Pradesh,2000-03-30,Premium,2023-10-07
C000182,Wazir,Lalla,mannantriya@example.net,Parbhani,Mizoram,1947-03-25,Standard,2022-11-27
C000183,Jai,Tripathi,chameli36@example.com,Vellore,Goa,1949-06-25,Business,2024-06-07
C000184,Tara,Nadig,calebravel@example.net,Kanpur,Rajasthan,2006-12-09,Standard,2023-01-01
C000185,Amara,Mukhopadhyay,shivansh51@example.com,Shimla,Andhra Pradesh,1952-03-20,Business,2025-11-10
C000186,Logan,Narayan,guhadamini@example.com,Gudivada,Madhya Pradesh,1954-04-01,Business,2022-05-16
C000187,Luke,Atwal,rajyamini@example.net,Durgapur,Andhra Pradesh,1954-07-17,Business,2024-04-22
C000188,Nirja,Saraf,contractorupasna@example.com,Rohtak,Tripura,1957-10-06,Premium,2022-10-08
C000189,Janya,Balan,nsodhi@example.net,Tadepalligudem,Meghalaya,1953-11-22,Standard,2022-07-03
C000190,Kalpit,Chaudhari,mchacko@example.net,Surendranagar Dudhrej,Tripura,1965-06-18,Business,2022-04-01
C000191,Ansh,Kar,rkapur@example.net,Jamshedpur,Gujarat,1970-03-20,Premium,2022-02-04
C000192,Bhavika,Mammen,rajeshri77@example.com,Udupi,Madhya Pradesh,1967-11-09,Premium,2024-01-21
C000193,Lila,Rastogi,radhavarughese@example.com,Saharsa,Punjab,1963-05-27,Business,2023-02-28
C000194,Udyati,Shanker,bdass@example.com,Gaya,Maharashtra,1946-06-28,Premium,2026-01-22
C000195,Rehaan,Saran,paninibhagat@example.com,Anand,Tripura,1969-01-13,Premium,2022-11-14
C000196,Ekavir,Bora,meghanarajagopal@example.net,Nizamabad,Sikkim,1956-09-11,Standard,2025-04-18
C000197,Krish,Sehgal,ashetty@example.org,Ratlam,Telangana,2007-03-24,Premium,2022-03-01
C000198,Aashi,Sarna,ekalinga22@example.net,Kamarhati,West Bengal,1992-02-22,Premium,2023-07-16
C000199,Damini,Biswas,cbhavsar@example.com,Karimnagar,Gujarat,1999-10-22,Premium,2025-08-15
C000200,Veda,Shenoy,bhatnagarnisha@example.com,Hosur,Chhattisgarh,1991-10-28,Business,2024-06-18
C000201,Ethan,Iyengar,narayangaurika@example.net,Bhusawal,Mizoram,1991-01-21,Premium,2023-12-19
C000202,Priya,Karan,bhavini20@example.net,Ajmer,Uttarakhand,2006-06-04,Standard,2021-11-03
C000203,Rajata,Gulati,naiduneha@example.com,Hospet,Uttarakhand,1955-07-14,Premium,2023-02-14
C000204,Nicholas,Iyer,xvarkey@example.net,Secunderabad,Punjab,1950-12-14,Premium,2025-07-13
C000205,Jason,Choudhry,bswaminathan@example.com,Karimnagar,Sikkim,1974-12-15,Premium,2024-12-18
C000206,Netra,Gole,udant73@example.net,Kollam,Gujarat,1994-11-10,Business,2023-10-26
C000207,Kiaan,Sampath,amruta33@example.net,Giridih,Uttar Pradesh,1990-05-02,Business,2025-02-13
C000208,Aryan,Goda,boradhriti@example.net,Medininagar,Kerala,2001-10-08,Business,2025-04-12
C000209,Ikbal,Swamy,meghanadesai@example.net,Farrukhabad,Karnataka,1979-01-30,Premium,2021-08-11
C000210,Triya,Choudhary,jairaj38@example.net,Madhyamgram,Odisha,1970-11-05,Premium,2023-06-12
C000211,Gopal,Mallick,yagneshbawa@example.org,Burhanpur,Andhra Pradesh,1986-03-16,Standard,2025-10-30
C000212,Qarin,Chawla,hayrefaras@example.net,Vijayawada,Sikkim,1989-11-26,Business,2021-09-03
C000213,Jai,Vala,nagyabhimanyu@example.net,Bardhaman,Chhattisgarh,1962-04-04,Business,2025-11-01
C000214,Falguni,D’Alia,lmajumdar@example.org,Morbi,Meghalaya,1952-07-29,Standard,2026-05-22
C000215,Shivansh,Prabhu,yahvikapur@example.org,Aligarh,Tripura,1986-06-30,Premium,2023-10-16
C000216,Nathan,Din,inaya62@example.net,Hospet,Telangana,1958-12-07,Business,2025-03-29
C000217,Mitali,Vaidya,bariadarika@example.org,Bijapur,Andhra Pradesh,2008-04-16,Business,2021-10-26
C000218,Chandresh,Saran,kpatil@example.org,Ahmednagar,Rajasthan,1983-10-26,Standard,2021-10-09
C000219,Manya,Mallick,kdhaliwal@example.net,Tiruppur,Gujarat,1980-06-24,Business,2024-10-28
C000220,Theodore,Hora,kabirrai@example.net,Ulhasnagar,Andhra Pradesh,1992-10-04,Standard,2022-07-30
C000221,Yashoda,Kalla,ybhat@example.net,Gwalior,Rajasthan,2000-08-29,Premium,2024-09-12
C000222,Krishna,Sethi,samarth20@example.com,Guna,Sikkim,1988-03-29,Premium,2025-02-13
C000223,Priya,Ray,gavin08@example.com,Agartala,Goa,2005-06-14,Premium,2025-11-08
C000224,Damini,Kakar,vcheema@example.net,Loni,Goa,1973-04-08,Business,2025-12-21
C000225,Bakhshi,Barad,xavier99@example.net,Kirari Suleman Nagar,West Bengal,1974-01-14,Business,2022-04-17
C000226,Ekansh,Bala,michael04@example.org,Yamunanagar,Sikkim,1954-07-03,Standard,2022-06-22
C000227,Chaman,Bhatnagar,vihaan94@example.net,Bilaspur,Himachal Pradesh,1994-08-10,Business,2023-12-15
C000228,Gaurang,Bal,manyabora@example.org,Karnal,Rajasthan,1979-11-24,Business,2026-01-25
C000229,Nihal,Palla,dkhanna@example.org,Rohtak,Tripura,1961-03-05,Business,2024-04-09
C000230,Jeremiah,Nori,osha95@example.net,Karaikudi,Karnataka,1991-01-21,Standard,2025-02-25
C000231,Chanchal,Prashad,mukhopadhyayudant@example.org,Salem,Uttarakhand,1951-06-14,Business,2025-04-15
C000232,Hamsini,Purohit,boseisaac@example.net,Noida,Chhattisgarh,1947-05-28,Business,2026-08-02
C000233,Leena,Chahal,vradhakrishnan@example.org,Shivpuri,Tripura,2004-11-02,Premium,2022-05-19
C000234,Robert,Sharaf,jeremiah67@example.net,Udupi,Uttarakhand,2005-01-20,Premium,2024-02-13
C000235,Sneha,Solanki,jhayer@example.com,Sasaram,Chhattisgarh,1991-09-05,Business,2024-07-04
C000236,Chandresh,Tak,siddharth79@example.net,Bilaspur,Karnataka,1977-07-08,Premium,2023-09-03
C000237,Lakshit,Sane,vanyachoudhury@example.com,Kottayam,Meghalaya,1987-05-27,Premium,2023-10-02
C000238,Girik,Acharya,abhalla@example.net,Panvel,Haryana,1950-09-04,Business,2021-12-13
C000239,Lakshit,Sem,bhattlaban@example.net,Nashik,Chhattisgarh,1996-08-14,Standard,2021-09-21
C000240,Edhitha,Mander,dattaadvika@example.net,Ozhukarai,Uttarakhand,1967-07-22,Premium,2023-07-12
C000241,Vasatika,Bala,ikshita43@example.com,Raiganj,Andhra Pradesh,1985-04-26,Business,2021-08-08
C000242,Kritika,Sem,khuranaabeer@example.com,Jamnagar,Karnataka,1958-12-18,Business,2022-12-23
C000243,Wridesh,Wagle,jyotisingh@example.org,Raurkela Industrial Township,Haryana,1952-12-31,Business,2021-08-25
C000244,Rushil,Badal,nprasad@example.net,Tadepalligudem,Uttarakhand,1971-10-17,Business,2021-11-30
C000245,Madhav,Jain,varkeyadvika@example.net,Nashik,Bihar,1954-09-29,Standard,2024-05-11
C000246,Brijesh,Palan,omajadeol@example.org,Patna,Chhattisgarh,1975-06-16,Standard,2026-03-20
C000247,Qadim,Vohra,turvi68@example.org,Malegaon,Meghalaya,1957-10-09,Premium,2026-02-24
C000248,Aachal,Yohannan,khatriharshil@example.com,Meerut,Punjab,2005-11-09,Business,2021-11-15
C000249,Aahana,Chhabra,amarachahal@example.net,Chandrapur,Jharkhand,1991-09-16,Standard,2023-11-20
C000250,Adweta,Hora,lekhakapoor@example.org,Tenali,Bihar,1982-04-17,Premium,2026-03-04
C000251,Vedhika,Patil,jnarula@example.com,Howrah,Nagaland,1958-07-11,Business,2025-12-02
C000252,Ekani,Datta,tara29@example.org,Kamarhati,Madhya Pradesh,1976-06-27,business,2024-04-28
C000253,Kevin,Sarin,hiteshthakur@example.net,Sasaram,Sikkim,1992-02-12,Business,2026-04-02
C000254,Madhavi,Parekh,sudikshachatterjee@example.com,Miryalaguda,Maharashtra,1950-09-30,Business,2023-07-16
